1
2
3
4
5
6.
7
8
9.
10
15
20
30
36
40
45
50
60
72
90
100
108
120
135
144
150
180
360
+1
+2
+3
+5
+10
+15
+20
+50
+100
-1
-2
-3
-5
-10
-15
-20
-50
-100
*2
*3
/2
/3
^2
^3
